#x-axis,1,2
#second,Volt,Volt
-5.02000E-03,-60.30151E-03,+582.91457E-03
-5.01000E-03,-67.83920E-03,+574.12060E-03
-5.00000E-03,-69.09548E-03,+571.60803E-03
-4.99000E-03,-66.58291E-03,+582.91457E-03
-4.98000E-03,-64.07035E-03,+582.91457E-03
-4.97000E-03,-80.40201E-03,+580.40200E-03
-4.96000E-03,-99.24623E-03,+561.55778E-03
-4.95000E-03,-62.81407E-03,+562.81406E-03
-4.94000E-03,-74.12060E-03,+556.53266E-03
-4.93000E-03,-100.50251E-03,+542.71356E-03
-4.92000E-03,-80.40201E-03,+542.71356E-03
-4.91000E-03,-80.40201E-03,+569.09547E-03
-4.90000E-03,-100.50251E-03,+572.86432E-03
-4.89000E-03,-100.50251E-03,+564.07035E-03
